Department,Crse,Title,Days,Time,Act,Instructor,Location,Type
ABE,20200,Thermodynamics In Biological Systems II,TR,09:00 am-10:15 am,51,David M Umulis (P),ABE 204,Lecture
ABE,21000,Thermodynamics Principles Of Engineering And Biological Systems,TR,10:30 am-11:45 am,31,Sadegh Dabiri Satari (P),ABE 204,Lecture
ABE,30100,Modeling And Computational Tools In Biological Engineering,TR,09:00 am-10:15 am,10,Bernard Y Tao (P),ABE 118,Lecture
ABE,30400,Bioprocess Engineering Laboratory,R,02:30 pm-06:20 pm,20,"Abigail S Engelberth (P), Jenna L Rickus",DLR 128,Laboratory
ABE,30400,Bioprocess Engineering Laboratory,T,01:30 pm-02:20 pm,24,"Abigail S Engelberth (P), Jenna L Rickus",DLR 128,Laboratory Preparation
ABE,30400,Bioprocess Engineering Laboratory,T,02:30 pm-06:20 pm,24,"Abigail S Engelberth (P), Jenna L Rickus",DLR 128,Laboratory
ABE,30400,Bioprocess Engineering Laboratory,R,01:30 pm-02:20 pm,20,"Abigail S Engelberth (P), Jenna L Rickus",DLR 128,Laboratory Preparation
ABE,30800,Heat And Mass Transfer In Food And Biological Systems,TR,10:30 am-11:45 am,42,Osvaldo H Campanella (P),ABE 205,Lecture
ABE,31400,Design Of Electronic Systems,MW,01:30 pm-02:20 pm,44,John H Lumkes (P),SMTH 118,Lecture
ABE,31400,Design Of Electronic Systems,W,09:30 am-11:20 am,27,John H Lumkes (P),DLR 131,Laboratory
ABE,31400,Design Of Electronic Systems,T,11:30 am-01:20 pm,17,John H Lumkes (P),DLR 131,Laboratory
ABE,32000,"Solid Modeling, Simulation, And Analysis",M,11:30 am-12:20 pm,15,Stanley Dean Harlow (P),ABE 205,Lecture
ABE,32000,"Solid Modeling, Simulation, And Analysis",W,03:30 pm-05:20 pm,15,Stanley Dean Harlow (P),ABE 118,Laboratory
ABE,33000,Design Of Machine Components,TR,09:30 am-10:20 am,17,Gary W Krutz (P),ABE 205,Lecture
ABE,33000,Design Of Machine Components,R,03:30 pm-05:20 pm,17,Gary W Krutz (P),ABE 102,Laboratory
ABE,37000,Biological/Microbial Kinetics And Reaction Engineering,MWF,12:30 pm-01:20 pm,57,Meng Deng (P),LILY G420,Lecture
ABE,44000,Cell And Molecular Design Principles,TR,12:00 pm-01:15 pm,7,Jenna L Rickus (P),ABE 301,Lecture
ABE,45700,Transport Operations In Food And Biological Engineering I,MWF,02:30 pm-03:20 pm,49,Ganesan Narsimhan (P),ABE 204,Lecture
ABE,48600,Agricultural Engineering Design,MW,03:30 pm-05:20 pm,21,"Bernard Allen Engel (P), Robert Merton Stwalley",ABE 205,Laboratory
ABE,49500,GIS Techology Tools,TR,12:00 pm-01:15 pm,8,Jane R Frankenberger (P),ABE 204,Lecture
ABE,49500,Irrigation Technology Tools,TR,12:00 pm-01:15 pm,6,Vincent F Bralts (P),ABE 204,Lecture
ABE,49500,Storm Water Design,TR,12:00 pm-01:15 pm,6,Sara K Mcmillan (P),ABE 204,Lecture
ABE,49500,Proc Design Food & Bio Syst II,TR,05:30 pm-06:20 pm,43,Martin R Okos (P),ABE 204,Laboratory
ABE,49500,Ag Machinery For Engineers,T,05:30 pm-07:20 pm,6,"Gary W Krutz (P), Robert Merton Stwalley",ABE 301,Lecture
ABE,50100,Welding Engineering,T,11:30 am-12:20 pm,6,Gary W Krutz (P),ABE 102,Lecture
ABE,55700,Transport Operations In Food And Biological Systems II,MWF,02:30 pm-03:20 pm,1,Martin R Okos (P),ABE 212,Lecture
ABE,55800,Process Design For Food And Biological Systems,TR,02:30 pm-03:20 pm,43,Martin R Okos (P),ABE 204,Lecture
ABE,55800,Process Design For Food And Biological Systems,TR,03:30 pm-05:20 pm,43,Martin R Okos (P),ABE 204,Laboratory
ABE,58000,Process Engineering Of Renewal Resources,MWF,10:30 am-11:20 am,56,Nathan Scott Mosier (P),FORS 216,Lecture
ABE,62600,"Life Of A Faculty Entrepreneur; Discovery, Delivery, Translation",R,05:30 pm-08:20 pm,22,"Nathalie Agathe- Duval-Couetil (P), Michael Ralph Ladisch",MRGN 121,Lecture
ABE,62700,Colloidal Phenomena In Bioprocessing,MWF,09:30 am-10:20 am,10,Ganesan Narsimhan (P),ABE 205,Lecture
ABE,69100,Hydraulic Pwr Trains&Hybrd,T,08:30 am-10:20 am,4,Monika Ivantysynova (P),INOK 200,Lecture
ABE,69100,Hydraulic Pwr Trains&Hybrd,R,08:30 am-10:20 am,4,Monika Ivantysynova (P),INOK 200,Laboratory
ABE,69100,Quantitative Systems Biology,TR,12:00 pm-01:15 pm,14,David M Umulis (P),ABE 212,Lecture
ABE,69100,Water Science Seminar,R,09:30 am-10:20 am,5,Sara K Mcmillan (P),ABE 301,Lecture
ABE,69600,Graduate Seminar,R,03:30 pm-04:20 pm,24,"Nathan Scott Mosier (P), Abigail S Engelberth",ABE 301,Lecture
ABE,69700,Doctoral Professional Development,T,09:30 am-11:20 am,16,Abigail S Engelberth (P),ABE 301,Lecture
BME,20400,Biomechanics Of Hard And Soft Tissues,TR,12:00 pm-01:15 pm,89,Sarah Calve (P),MJIS 1001,Lecture
BME,20600,Biomechanics And Biomaterials Laboratory,T,09:00 am-11:50 am,21,"Corey P Neu (P), Lester J Smith",MJIS 1053,Laboratory
BME,20600,Biomechanics And Biomaterials Laboratory,T,01:30 pm-04:20 pm,24,"Corey P Neu (P), Lester J Smith",MJIS 1053,Laboratory
BME,20600,Biomechanics And Biomaterials Laboratory,R,09:00 am-11:50 am,22,"Corey P Neu (P), Lester J Smith",MJIS 1053,Laboratory
BME,20600,Biomechanics And Biomaterials Laboratory,R,01:30 pm-04:20 pm,22,"Corey P Neu (P), Lester J Smith",MJIS 1053,Laboratory
BME,25600,Physiological Modeling In Human Health,MWF,01:30 pm-02:20 pm,84,Charles Frederick Babbs (P),MJIS 1001,Lecture
BME,30600,Biotransport Laboratory,T,08:30 am-11:20 am,14,"Asem F Aboelzahab (P), Tamara L Kinzer-Ursem",MJIS 1061,Laboratory
BME,30600,Biotransport Laboratory,R,08:30 am-11:20 am,21,"Asem F Aboelzahab (P), Tamara L Kinzer-Ursem",MJIS 1061,Laboratory
BME,30600,Biotransport Laboratory,T,01:30 pm-04:20 pm,14,"Asem F Aboelzahab (P), Tamara L Kinzer-Ursem",MJIS 1061,Laboratory
BME,30600,Biotransport Laboratory,R,01:30 pm-04:20 pm,17,"Asem F Aboelzahab (P), Tamara L Kinzer-Ursem",MJIS 1061,Laboratory
BME,39500,Prof Development & Design BME,F,09:30 am-11:20 am,67,"Jacqueline Callihan Linnes (P), Asem F Aboelzahab , Andrew Owen Brightman , Ann Elizabeth Rundell , Lester J Smith",HIKS B853,Studio
BME,49500,Translation Sr Design Projects,W,10:30 am-11:20 am,0,"Pedro Irazoqui (P), Ann Elizabeth Rundell",MJIS 1053,Lecture
BME,49500,Introduction To Bioimaging,TR,12:00 pm-01:15 pm,33,Young L Kim (P),MJIS 1083,Lecture
