Department,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Type
ECE,30500,4,PWL,3,Semiconductor Devices,MWF,08:30 am-09:20 am,88,46,42,0,0,0,0,0,0,Mark Steven Lundstrom (P),01/12-05/02,MSEE B012,Lecture
ECE,30500,5,PWL,3,Semiconductor Devices,MWF,02:30 pm-03:20 pm,15,15,0,0,0,0,0,0,0,Muhammad Ashraful Alam (P),01/12-05/02,UNIV 001,Lecture
ECE,30600,1,PWL,1,Electronic Circuits And Systems Laboratory,T,02:30 pm-05:20 pm,12,7,5,0,0,0,0,0,0,"Rithesh Rajagopalan Iyer (P), George Edward Hadley , Matthew A Swabey",01/12-05/02,EE 165,Laboratory
ECE,30600,2,PWL,1,Electronic Circuits And Systems Laboratory,T,07:30 am-10:20 am,12,4,8,0,0,0,0,0,0,"Sayan Roy (P), George Edward Hadley , Matthew A Swabey",01/12-05/02,EE 165,Laboratory
ECE,30600,3,PWL,1,Electronic Circuits And Systems Laboratory,R,02:30 pm-05:20 pm,12,9,3,0,0,0,0,0,0,"Rithesh Rajagopalan Iyer (P), George Edward Hadley , Matthew A Swabey",01/12-05/02,EE 165,Laboratory
ECE,30600,4,PWL,1,Electronic Circuits And Systems Laboratory,W,11:30 am-02:20 pm,12,10,2,0,0,0,0,0,0,"Sayan Roy (P), George Edward Hadley , Matthew A Swabey",01/12-05/02,EE 165,Laboratory
ECE,30700,1,PWL,1,Electromagnetic Fields And Waves Laboratory,W,02:30 pm-05:20 pm,12,12,0,0,0,0,0,0,0,"Matthew A Swabey (P), George Edward Hadley , Jack Douglas Williams",01/12-05/02,WANG 3014A,Laboratory
ECE,30800,1,PWL,1,Systems Simulation And Control Laboratory,W,02:30 pm-05:20 pm,14,13,1,0,0,0,0,0,0,"Shalini Khare (P), George Edward Hadley , Matthew A Swabey",01/12-05/02,EE 165,Laboratory
ECE,30800,2,PWL,1,Systems Simulation And Control Laboratory,T,11:30 am-02:20 pm,14,11,3,0,0,0,0,0,0,"Shalini Khare (P), George Edward Hadley , Matthew A Swabey",01/12-05/02,EE 165,Laboratory
ECE,31100,2,PWL,3,Electric And Magnetic Fields,TR,03:00 pm-04:15 pm,80,76,4,0,0,0,0,0,0,Daniel S Elliott (P),01/12-05/02,EE 270,Lecture
ECE,31100,3,PWL,3,Electric And Magnetic Fields,MWF,09:30 am-10:20 am,40,52,-12,0,0,0,0,0,0,Michael Raymond Melloch (P),01/12-05/02,EE 117,Lecture
ECE,32100,2,PWL,3,Electromechanical Motion Devices,MWF,01:30 pm-02:20 pm,60,58,2,0,0,0,0,0,0,Scott David Sudhoff (P),01/12-05/02,EE 117,Lecture
ECE,32300,1,PWL,1,Electromechanical Motion Devices and Systems Laboratory,T,07:30 am-10:20 am,14,9,5,0,0,0,0,0,0,Vineet kumar Pandey (P),01/12-05/02,EE 057,Laboratory
ECE,32300,2,PWL,1,Electromechanical Motion Devices and Systems Laboratory,R,07:30 am-10:20 am,14,13,1,0,0,0,0,0,0,Zachariah B Hughes (P),01/12-05/02,EE 057,Laboratory
ECE,32300,3,PWL,1,Electromechanical Motion Devices and Systems Laboratory,R,11:30 am-02:20 pm,14,13,1,0,0,0,0,0,0,Zachariah B Hughes (P),01/12-05/02,EE 057,Laboratory
ECE,32300,4,PWL,1,Electromechanical Motion Devices and Systems Laboratory,T,11:30 am-02:20 pm,14,14,0,0,0,0,0,0,0,Vineet kumar Pandey (P),01/12-05/02,EE 057,Laboratory
ECE,33700,2,PWL,0,ASIC Design Laboratory,R,11:30 am-02:20 pm,19,19,0,0,0,0,0,0,0,Mark Casey Johnson (P),01/12-05/02,EE 215,Laboratory
ECE,33700,3,PWL,0,ASIC Design Laboratory,T,02:30 pm-05:20 pm,19,19,0,0,0,0,0,0,0,Mark Casey Johnson (P),01/12-05/02,EE 215,Laboratory
ECE,33700,4,PWL,0,ASIC Design Laboratory,F,11:30 am-02:20 pm,19,19,0,0,0,0,0,0,0,Mark Casey Johnson (P),01/12-05/02,EE 215,Laboratory
ECE,33700,6,PWL,0,ASIC Design Laboratory,W,11:30 am-02:20 pm,19,16,3,0,0,0,0,0,0,Mark Casey Johnson (P),01/12-05/02,EE 215,Laboratory
